1,"{'mse': 0.0007717696247954227, 'l2': 0.17364816557897012, 'l1': 4.460160097227076}"
2,"{'mse': 0.0007696348832542266, 'l2': 0.173167848732201, 'l1': 4.428520643926568}"
3,"{'mse': 0.0008295412127482919, 'l2': 0.18664677286836567, 'l1': 4.375467843680859}"
4,"{'mse': 0.0006602769408449795, 'l2': 0.14856231169012038, 'l1': 4.073700928257981}"
5,"{'mse': 0.0005935242888764243, 'l2': 0.13354296499719548, 'l1': 3.8975775376759336}"
6,"{'mse': 0.000634194670602763, 'l2': 0.14269380088562167, 'l1': 3.8802311140632906}"
7,"{'mse': 0.0006104673877210651, 'l2': 0.13735516223723965, 'l1': 3.6850372033895593}"
8,"{'mse': 0.000721381405212144, 'l2': 0.1623108161727324, 'l1': 3.785423992312481}"
9,"{'mse': 0.0007137017653944267, 'l2': 0.16058289721374602, 'l1': 3.736549220082588}"
10,"{'mse': 0.000711435123004758, 'l2': 0.16007290267607055, 'l1': 3.7058608567869795}"
11,"{'mse': 0.0005231718676474216, 'l2': 0.11771367022066985, 'l1': 3.319386830254149}"
12,"{'mse': 0.0025616537220880067, 'l2': 0.5763720874698015, 'l1': 5.277139673629853}"
13,"{'mse': 0.0025068086216842337, 'l2': 0.5640319398789526, 'l1': 4.988637724375101}"
